period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
60,39,67,0.30000000000000004,10,90,2,10444.0,7.285697937011719
55,38,72,0.1,20,75,10,-281.0,7.342544078826904
35,36,69,0.4,15,80,6,6932.0,7.186230182647705
30,33,62,0.30000000000000004,15,90,14,-3508.0,7.370267868041992
40,29,74,0.2,20,80,18,-5723.0,7.262474060058594
70,35,70,0.30000000000000004,15,80,9,-3680.0,7.305300951004028
70,30,73,0.1,10,85,7,414.0,7.286659002304077
45,32,68,0.4,20,75,6,12934.0,7.296936988830566
30,26,65,0.2,10,85,19,19756.0,7.366907358169556
50,35,70,0.1,20,80,10,8720.0,7.170403957366943
45,27,66,0.2,20,90,9,14134.0,7.122326850891113
55,30,73,0.2,15,75,7,-5046.0,7.169155120849609
70,39,64,0.6000000000000001,10,75,12,16127.0,7.208398103713989
70,36,64,0.5,10,90,10,15526.0,7.454615116119385
65,30,73,0.1,20,85,11,856.0,7.271608829498291
50,37,71,0.5,20,85,19,5481.0,7.338162899017334
50,34,75,0.5,10,85,13,1186.0,7.294738054275513
60,25,60,0.2,10,90,18,10357.0,7.40793514251709
40,27,68,0.5,20,80,3,11943.0,7.362804889678955
35,33,67,0.4,10,80,7,15724.0,7.2959818840026855
55,32,61,0.30000000000000004,20,85,17,36278.0,7.381611108779907
40,28,63,0.30000000000000004,15,75,6,21072.0,7.289535999298096
60,38,62,0.4,15,75,7,26152.0,7.413744926452637
30,32,64,0.2,20,75,19,944.0,7.438308954238892
40,38,63,0.4,20,90,16,-4836.0,7.498202085494995
35,26,73,0.30000000000000004,10,75,2,5732.0,7.2336156368255615
55,25,67,0.1,20,75,8,7756.0,7.509414911270142
50,40,67,0.4,20,90,5,4398.0,7.4344611167907715
40,36,72,0.6000000000000001,20,90,7,4060.0,7.4757068157196045
35,30,75,0.6000000000000001,15,90,7,-1138.0,7.501889228820801
45,36,67,0.5,15,75,6,14835.0,7.4137609004974365
60,27,68,0.6000000000000001,10,80,2,10293.0,7.488290071487427
55,25,71,0.2,10,75,16,4476.0,7.4045140743255615
45,40,60,0.4,10,90,19,-7982.0,7.825073957443237
35,39,62,0.1,10,80,2,-10385.0,7.87103796005249
65,36,67,0.6000000000000001,20,85,5,9449.0,7.852731943130493
65,29,65,0.4,10,80,2,12201.0,7.895308971405029
30,30,66,0.4,15,80,19,10080.0,7.783466815948486
70,30,67,0.30000000000000004,15,80,5,3480.0,7.844977140426636
50,31,62,0.30000000000000004,15,80,14,28938.0,7.839629173278809
50,28,69,0.4,15,90,12,11090.0,7.9469780921936035
40,31,62,0.2,15,80,11,16867.0,7.899773120880127
40,35,65,0.30000000000000004,10,90,4,7076.0,7.662760972976685
50,25,69,0.30000000000000004,15,75,3,8992.0,7.549590110778809
35,36,60,0.4,15,75,17,-2416.0,7.69975209236145
60,34,64,0.30000000000000004,20,85,4,31913.0,7.615653991699219
30,28,61,0.5,15,80,15,11540.0,7.622097015380859
50,30,65,0.5,15,90,5,22086.0,7.592925786972046
60,33,71,0.2,15,85,8,-583.0,7.641242027282715
40,36,71,0.2,15,75,19,3185.0,7.5062689781188965
60,39,67,0.1,15,75,4,9993.0,7.5750892162323
45,36,62,0.2,20,75,8,13092.0,7.518334865570068
70,37,62,0.4,10,75,6,25330.0,7.52472186088562
65,30,62,0.30000000000000004,10,85,10,17139.0,7.454046010971069
35,31,61,0.5,20,75,8,12292.0,7.630069017410278
60,29,67,0.1,15,80,11,7192.0,7.503360986709595
35,40,63,0.4,15,85,17,-17496.0,7.756988048553467
45,29,68,0.4,20,85,15,8820.0,7.548102140426636
40,30,67,0.2,15,90,3,13207.0,7.530508041381836
65,39,67,0.30000000000000004,15,90,2,5994.0,7.572731971740723
