period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
15,20,60,0.8000000000000003,15,75,15,6329.0,7.0281736850738525
35,24,68,0.5000000000000001,15,90,10,0.0,6.955786943435669
45,32,68,0.30000000000000004,15,90,10,0.0,7.129923105239868
50,30,64,0.4000000000000001,20,85,15,0.0,6.878146648406982
45,36,76,0.6000000000000001,20,90,5,0.0,7.123833179473877
20,38,64,0.7000000000000002,15,90,15,-1638.0,7.16204571723938
45,32,72,0.2,10,80,15,0.0,7.066859722137451
15,38,62,0.8000000000000003,15,85,10,-12424.0,7.146283149719238
45,22,68,0.5000000000000001,5,80,10,0.0,7.3690690994262695
10,32,70,0.4000000000000001,20,85,5,-6200.0,7.5442869663238525
15,28,66,0.5000000000000001,5,90,5,5199.0,7.747822046279907
15,20,72,0.8000000000000003,10,85,10,-962.0,7.865894794464111
15,36,74,0.7000000000000002,5,85,5,-7862.0,7.747437238693237
30,28,66,0.4000000000000001,20,85,10,0.0,7.549475193023682
50,24,78,0.6000000000000001,20,90,10,0.0,7.7776079177856445
10,24,70,0.30000000000000004,15,80,15,-6200.0,7.885101079940796
45,28,76,0.6000000000000001,10,85,15,0.0,7.646662712097168
50,26,76,0.30000000000000004,15,90,15,0.0,7.7019569873809814
45,28,66,0.30000000000000004,15,90,15,0.0,7.443376064300537
45,26,70,0.7000000000000002,5,90,15,0.0,7.587946891784668
35,26,64,0.5000000000000001,5,80,10,0.0,7.516072750091553
50,22,72,0.6000000000000001,5,85,10,0.0,7.550952911376953
35,22,66,0.30000000000000004,15,85,15,0.0,7.493778944015503
45,24,60,0.4000000000000001,15,75,10,0.0,7.5595269203186035
15,32,66,0.2,20,80,10,5192.0,7.646992206573486
10,24,76,0.7000000000000002,5,85,15,-6200.0,7.7190210819244385
45,24,72,0.4000000000000001,20,90,10,0.0,7.725812911987305
45,26,68,0.8000000000000003,15,90,15,0.0,7.452782869338989
45,24,72,0.2,5,80,10,0.0,7.172671794891357
35,22,64,0.7000000000000002,15,75,15,0.0,7.192904949188232
35,22,60,0.5000000000000001,5,85,15,0.0,7.057267904281616
30,20,66,0.2,5,80,5,0.0,7.300791025161743
35,36,60,0.30000000000000004,20,80,10,0.0,6.990538835525513
15,32,68,0.7000000000000002,20,80,15,-962.0,7.314544916152954
25,22,76,0.8000000000000003,5,85,15,0.0,7.237073183059692
50,26,64,0.4000000000000001,10,90,10,0.0,7.160907030105591
35,26,68,0.8000000000000003,5,85,10,0.0,7.459695816040039
30,26,70,0.30000000000000004,5,90,5,0.0,7.558242082595825
20,34,70,0.2,10,85,15,-2452.0,7.884091854095459
35,38,68,0.7000000000000002,10,85,5,0.0,7.52971076965332
40,34,72,0.30000000000000004,20,85,10,0.0,7.694753885269165
50,36,68,0.2,20,90,5,0.0,7.59040904045105
45,28,62,0.5000000000000001,15,90,10,0.0,7.61160135269165
15,30,66,0.2,10,85,15,5374.0,7.852972030639648
50,36,72,0.7000000000000002,5,85,15,0.0,7.622076749801636
30,36,70,0.8000000000000003,10,75,10,0.0,6.964103937149048
50,30,66,0.2,5,75,15,0.0,7.0111308097839355
15,22,70,0.5000000000000001,20,90,15,-962.0,7.007342100143433
30,24,72,0.6000000000000001,15,85,10,0.0,6.950850009918213
10,22,62,0.6000000000000001,20,80,10,-510.0,7.108307361602783
40,24,74,0.30000000000000004,10,90,15,0.0,6.942254066467285
35,34,68,0.30000000000000004,20,75,5,0.0,7.003710985183716
50,32,72,0.2,20,80,10,0.0,7.0178539752960205
15,26,62,0.6000000000000001,20,90,10,5888.0,7.226393222808838
40,38,70,0.5000000000000001,20,80,5,0.0,7.243917942047119
35,26,70,0.5000000000000001,10,80,10,0.0,7.164340257644653
10,28,68,0.7000000000000002,15,85,15,-6200.0,7.305472135543823
20,34,66,0.8000000000000003,10,90,10,2857.0,7.349072217941284
15,38,70,0.5000000000000001,5,90,5,-7889.0,7.306384086608887
20,34,60,0.8000000000000003,15,80,5,6527.0,7.351249933242798
30,38,74,0.4000000000000001,15,90,10,0.0,7.267742156982422
10,36,76,0.7000000000000002,20,75,15,-12838.0,7.243914842605591
30,38,62,0.8000000000000003,20,90,5,0.0,7.136963129043579
20,22,68,0.30000000000000004,5,85,5,0.0,7.648614168167114
20,24,60,0.5000000000000001,20,75,10,8222.0,7.88727593421936
40,24,66,0.7000000000000002,15,90,10,0.0,7.618711948394775
15,32,76,0.4000000000000001,5,75,10,-962.0,7.871235132217407
10,32,70,0.4000000000000001,5,80,5,-6164.0,7.802580118179321
40,20,68,0.6000000000000001,15,80,10,0.0,7.755023956298828
50,30,60,0.7000000000000002,15,80,10,0.0,7.918105840682983
10,24,72,0.5000000000000001,15,90,5,-7240.0,7.949481248855591
10,28,60,0.6000000000000001,10,80,15,-3177.0,7.865567922592163
30,24,70,0.30000000000000004,15,85,10,0.0,8.269593954086304
40,24,68,0.7000000000000002,10,75,10,0.0,8.188710927963257
35,28,68,0.6000000000000001,10,75,10,0.0,8.203159093856812
50,20,64,0.5000000000000001,20,85,10,0.0,8.19996190071106
40,24,76,0.5000000000000001,10,90,15,0.0,8.254463911056519
25,38,70,0.4000000000000001,20,85,5,0.0,8.153711795806885
10,22,62,0.7000000000000002,15,85,15,-714.0,8.385158777236938
45,20,68,0.7000000000000002,10,75,10,0.0,8.1095130443573
10,38,76,0.5000000000000001,5,90,15,-12838.0,8.3174729347229
40,38,78,0.6000000000000001,10,90,15,0.0,8.106236934661865
